name,gongyi,kouwei,shijian,nandu,zhuliao,fuliao,buzhou,less,more,no,tang,reliang,zhifang,text,parsed
蓑衣黄瓜,拌,酸辣味,10分钟,初级入门,黄瓜1根;,油适量;盐1克;大蒜2瓣;干辣椒2个;香葱1根;味极鲜酱油15克;陈醋3克;糖2克;,"步骤1:备好所需食材
步骤2:黄瓜洗净后放在熟食案板上，两边各放一根筷子
步骤3:刀与黄瓜成直角，均匀切成2mm左右连刀片（注意，黄瓜头比较细，筷子不够高，切的时候要悠着点，别切断了）
步骤4:一面直角刀切好后，再翻面切斜刀，大约45度角
步骤5:切完后就可以随意拉伸哈，然后放到大碗里，把盐均匀撒在黄瓜上，腌制1小时左右
步骤6:在腌制黄瓜期间，把蒜瓣切小粒，香葱切成葱花，辣椒去籽，剪成小条
步骤7:小碗里放入辣椒条和葱花
步骤8:锅中倒入适量油（我用的是菜籽油），开中火烧至冒烟后关火
步骤9:将热油淋入辣椒和葱花上炸出香味（油没用完，不用太多）
步骤10:然后调入蒜末、味极鲜、醋和糖，搅拌均匀备用
步骤11:将腌出来的黄瓜水倒掉，把黄瓜放入碗中
步骤12:最后将调料汁均匀浇到蓑衣黄瓜上就可以开吃啦
",儿童;,高血压人群;高血脂人群;减肥人群;高血糖人群;,无,3.15克,43克,2.4克,黄瓜1根;蓑衣黄瓜,黄瓜 黄瓜 
西红柿炒鸡蛋,炒,酸甜味,5分钟,新手尝试,鸡蛋适量;西红柿适量;,食用油10毫升;鸡精3克;糖5克;盐3克;,"步骤1:起锅热油炒鸡蛋
步骤2:起锅热油炒西红柿加入糖盐出汁
步骤3:放入炒好的鸡蛋加入调料，翻炒均匀
步骤4:即可出锅
",无,高血脂人群;减肥人群;高血压人群;高血糖人群;儿童;,无,2.03克,54.2克,3克,鸡蛋适量;西红柿适量;西红柿炒鸡蛋,鸡蛋 番茄 番茄 
青椒土豆丝,炒,家常味,10分钟,新手尝试,土豆50克;,葱5克;蒜5克;青椒10克;红椒10克;盐2克;白醋5克;,"步骤1:葱花蒜片备用，青红椒切丝，土豆去皮擦丝
步骤2:土豆丝焯水10秒
步骤3:锅中放油加葱蒜，加青红椒，翻炒均匀，加土豆丝，大火翻炒1分钟
步骤4:加盐，醋，翻炒均匀
",高血压人群;高血糖人群;儿童;,减肥人群;高血脂人群;,无,9.45克,59.5克,0.2克,土豆50克;青椒土豆丝,土豆 土豆 
酸辣土豆丝,炒,酸辣味,5分钟,新手尝试,土豆300克;,食用油5毫升;蒜适量;葱花适量;花椒适量;干辣椒适量;醋3克;盐3克;,"步骤1:1、准备300g土豆切丝，放入清水泡5分钟
步骤2:2、锅内放油，葱花干辣椒炝锅
步骤3:3、放入醋3g、盐3g，大火爆炒2分钟
步骤4:4、出锅即可食用。
",儿童;,减肥人群;高血脂人群;高血压人群;,高血糖人群;,11.69克,74.3克,0.2克,土豆300克;酸辣土豆丝,土豆 土豆 
炒白菜,炒,家常味,5分钟,新手尝试,胡萝卜100克;白菜300克;,葱花5克;蒜片3克;辣椒1根;香菇80克;食用油5毫升;,"步骤1:1、准备葱花、蒜片、辣椒段、香菇块、胡萝卜片、白菜段
步骤2:2、白菜、胡萝卜、香菇焯水30秒
步骤3:3、倒入食用油，放入蒜片、葱花、辣椒，大火爆香
步骤4:4、倒入白菜、香菇、胡萝卜片，翻炒均匀
步骤5:5、加白胡椒粉、盐、生抽，翻炒均匀，装盘即可
步骤6:6、出锅即可食用。
",儿童;,高血压人群;高血糖人群;减肥人群;高血脂人群;,无,2.52克,16.4克,0.2克,胡萝卜100克;白菜300克;炒白菜,胡萝卜 白菜 白菜 
鱼干,炒,家常味,5分钟,新手尝试,鱼干50克;,蒜8克;小米椒适量;青椒15克;生抽10克;,"步骤1:蒜片8克，小米椒适量切段，青椒15克，切片
步骤2:鱼干50克，清水200毫升浸泡3小时
步骤3:食用油5ml，倒入蒜片，鱼干，翻炒均匀，生抽10克，鸡粉2克，
步骤4:倒入青椒，倒入小米椒，翻炒均匀
",儿童;,高血压人群;减肥人群;高血脂人群;高血糖人群;,无,4.69克,89.5克,2.2克,鱼干50克;鱼干,鱼 鱼 
蒜蓉西兰花,炒,家常味,10分钟,初级入门,西兰花200克;,蒜末5克;辣椒末适量;食用油5毫升;盐6克;蚝油3克;,"步骤1:清水煮沸，倒入西兰花，焯水30秒捞出
步骤2:倒入食用油，放蒜末，大火爆香
步骤3:倒入西兰花，翻炒均匀
步骤4:加蚝油和盐，翻炒均匀
步骤5:倒入适量辣椒，翻炒均匀
",儿童;,高血压人群;高血糖人群;高血脂人群;减肥人群;,无,2.17克,15.8克,0.5克,西兰花200克;蒜蓉西兰花,西兰花 西兰花 
红烧牛肉,炖,酱香味,数小时,初中水平,牛肉500克;,草果1个;干辣椒2个;丁香7粒;香叶2片;香果1个;肉蔻4粒;八角1个;栀子1粒;槟榔1片;白芷1个;荜拨1个;食用油8毫升;葱花适量;老抽3克;料酒5克;生抽5克;盐3克;,"步骤1:将草果、干辣椒、丁香、香叶、香果、肉蔻、八角、栀子、槟榔片、白芷、荜拨放入香料包中
步骤2:锅中放油，放入适量葱花爆香，倒入牛肉粒，翻炒至变色
步骤3:加入老抽、料酒、生抽、盐，翻炒后小火炖30分钟
步骤4:另起炖锅，倒入炒过的牛肉，加热水没过牛肉，放入香料包
步骤5:大火烧开转小火炖2小时，出锅即可
",减肥人群;儿童;,高血脂人群;高血压人群;高血糖人群;,无,1.4克,125克,4.2克,牛肉500克;红烧牛肉,牛肉 牛肉 
拍黄瓜,拌,家常味,10分钟,新手尝试,黄瓜1根;,盐3克;白醋5克;生抽3克;辣椒油适量;蒜末5克;辣椒末适量;芝麻适量;,"步骤1:黄瓜一根拍扁
步骤2:斜切成段
步骤3:加盐、白醋、生抽、辣椒油、辣椒末、蒜末
步骤4:搅拌均匀
步骤5:撒上适量白芝麻
",儿童;,高血糖人群;减肥人群;高血脂人群;高血压人群;,无,1.89克,14.7克,0.2克,黄瓜1根;拍黄瓜,黄瓜 黄瓜 
土豆炖牛肉,炖,家常味,2小时,新手尝试,土豆500克;牛肉300克;,家乐猪骨浓汤口味浓汤宝1粒;八角1个;桂皮2克;酱油1汤匙;老抽1茶匙;干红辣椒2根;大葱段5克;姜片5克;料酒2汤匙;油2汤匙;,"步骤1:全部食材
步骤2:土豆去皮洗净，切成滚刀块，浸入清水中备用
步骤3:牛肉去筋，然后切成和土豆差不多大小的块，在清水中泡净血水
步骤4:锅中放油烧至五成热，将葱段、姜片爆香
步骤5:然后放入牛肉，翻炒至牛肉基本定型、表面变色。此时放入土豆，并放入没过食材的清水
步骤6:加入家乐猪骨浓汤口味浓汤宝、酱油、老抽、料酒、干红辣椒、八角、桂皮，大火煮开
步骤7:最后转小火慢炖1个小时，直至牛肉熟烂，关火盛出即可。浓汤宝在加热后融化，展现出层层拉丝的口感，令汤汁更浓稠，多汁入味
",高血糖人群;儿童;,减肥人群;高血脂人群;高血压人群;,无,7.84克,92.8克,1.7克,土豆500克;牛肉300克;土豆炖牛肉,土豆 牛肉 土豆 
凉拌黄瓜,拌,酸辣味,10分钟,新手尝试,黄瓜2根;,姜5克;葱1根;蒜5克;食盐1/2茶匙;辣椒油2茶匙;醋1茶匙;花椒粉1/4茶匙;香油1/2茶匙;生抽3茶匙;味精1/4茶匙;,"步骤1:准备食材：黄瓜、姜葱蒜
步骤2:黄瓜去皮，洗净
步骤3:黄瓜切条，放少许食盐腌制
步骤4:姜蒜切末，葱切葱花
步骤5:放入辣椒油、花椒粉、白糖、醋、生抽、香油、味精拌匀
步骤6:调好的酱汁倒入黄瓜中，拌匀即可
",儿童;,高血压人群;高血脂人群;减肥人群;高血糖人群;,无,2.24克,29.6克,1.6克,黄瓜2根;凉拌黄瓜,黄瓜 黄瓜 
糖醋白菜,炒,酸甜味,10分钟,新手尝试,白菜240克;,葱花5克;蒜片5克;食用油5毫升;干辣椒3克;白砂糖10克;醋10克;生抽5克;,"步骤1:葱花、蒜片备用
步骤2:白菜切块
步骤3:倒入食用油、干辣椒、葱花、蒜片、白砂糖，大火爆香
步骤4:倒入白菜，翻炒均匀，倒入醋、生抽，翻炒均匀
",儿童;,高血压人群;高血脂人群;减肥人群;高血糖人群;,无,4.97克,51.7克,2.2克,白菜240克;糖醋白菜,白菜 白菜 
风琴土豆,炒,家常味,5分钟,新手尝试,土豆;培根;,马苏里拉芝士;,"步骤1:土豆垫筷子切片
步骤2:锡纸包住土豆烤箱230度烘烤23分钟
步骤3:培根切成小块
步骤4:塞入土豆缝隙里
步骤5:刷上酱料铺上马苏里拉芝士烤箱200度烤15分钟
",高血脂人群;高血压人群;减肥人群;高血糖人群;儿童;,无,无,4.34克,212.9克,12.5克,土豆;培根;风琴土豆,土豆 土豆 
凉拌土豆丝,拌,香辣味,10分钟,中级掌勺,土豆两个;,大蒜2克;干辣椒三个;生姜2克;秘制辣椒红油一大勺;鸡粉0.1克;白糖四分之一勺;芝麻香油半勺;葱花3克;,"步骤1:土豆去皮洗干净先切片再切成均匀的细丝儿刀工不行的话就用工具上吧不然太难看了哦土豆丝切好之后用清水洗干净淀粉，水里泡一会儿
步骤2:锅里上水烧开放入土豆丝稍煮记住时间不能太长，煮过了就不脆了
步骤3:煮好的土豆丝沥干热水然后放到准备好的冰水中激一下口感更脆没有冰块的话那就凉水的反正冬天水都是冰的
步骤4:大蒜生姜切碎末
步骤5:锅里上油，小火加热，倒入大蒜生姜沫爆香，还放了点葱白段喜欢辣的人加入一些干辣椒慢慢炒香
步骤6:泡好的土豆丝彻底沥干水分炒好的大蒜生姜末倒入到土豆丝上面
步骤7:加入一勺美姐姐家蜜汁的辣椒红油【喜欢的可以私信我】看着就诱人吧
步骤8:然后就是少许盐，鸡粉，芝麻香油，一丢丢白糖，半勺白醋
步骤9:少许炒香的白芝麻和葱花继续拌匀
步骤10:腌制一会儿更入味以后再吃哦，夏天的话可以冰箱的里面放一会儿吃起来更爽口
步骤11:装盘，记得弄得好看一些哦
步骤12:哈哈想着我家熊哥【我爹】肯定特喜欢他就喜欢这种脆脆的过年回家一定要做
步骤13:早上没食欲煮点稀饭来上一碗配上酸辣的土豆丝儿嗯哼，绝配
步骤14:""穿自己喜欢的衣服和不累的人相处和所有喜欢的一切在一起过想象里的一百种生活""​
",儿童;,减肥人群;高血脂人群;高血压人群;,高血糖人群;,11.83克,90.2克,2.2克,土豆两个;凉拌土豆丝,土豆 土豆 
醋溜土豆丝,其它工艺,酸辣味,10分钟,初级入门,土豆300克;,香菜适量;食用油5毫升;葱适量;白醋5克;盐3克;,"步骤1:土豆丝放入清水中淘洗
步骤2:土豆切丝
步骤3:香菜切段
步骤4:倒入食用油，放入葱花，倒入土豆丝
步骤5:放入白醋、盐，香菜
步骤6:大火爆炒2分钟
步骤7:端出即可
",无,减肥人群;高血脂人群;高血压人群;儿童;,高血糖人群;,11.69克,74.3克,0.2克,土豆300克;醋溜土豆丝,土豆 土豆 
番茄土豆肥牛锅,煮,家常味,30分钟,新手尝试,土豆180克;番茄200克;肥牛180克;,姜6克;蒜5克;葱10克;,"步骤1:土豆去皮切片
步骤2:锅中放油，倒入姜丝，蒜片，大火爆香
步骤3:倒入番茄，小火翻炒至浓稠
步骤4:倒入土豆片，翻炒均匀
步骤5:加入清水，盐，黑胡椒粉，白糖，搅拌均匀
步骤6:加入肥牛，翻炒至变色，倒入葱段，翻炒均匀
",高血糖人群;,减肥人群;高血脂人群;高血压人群;儿童;,无,5.04克,67.5克,1.5克,土豆180克;番茄200克;肥牛180克;番茄土豆肥牛锅,土豆 番茄 牛肉 番茄 土豆 牛肉 
